"idpedido","idcliente","idtransportadora","idvendedor","data_pedido","valor"
1,1,1,1,"2008-04-01","1300"
2,1,1,1,"2008-04-01","500"
3,11,2,5,"2008-04-02","300"
4,8,1,7,"2008-04-05","1000"
5,9,2,6,"2008-04-06","200"
6,10,1,6,"2008-04-06","1985"
7,3,1,7,"2008-04-06","800"
8,3,NULL,7,"2008-04-06","175"
9,12,NULL,8,"2008-04-07","1300"
10,6,1,8,"2008-04-10","200"
11,15,2,1,"2008-04-15","300"
12,15,2,5,"2008-04-20","300"
13,9,1,7,"2008-04-20","350"
14,2,1,5,"2008-04-23","300"
15,11,NULL,5,"2008-04-25","200"
